page,term,snippet
18,altimetry,"arch Sounding (HF, VHF) Reﬂectometry (HF, VHF) Altimetry (VHF) Characterize the thermal signatures of current or recent geological activity Full Depth Subsurface Global Mapping Subsurface Landform Sounding (HF, VHF) Reﬂectometry (HF, VHF) Interferometry (VHF) Altimetry (VHF) Characterize the subsurface structure, near-surface characteristics, and surface topography of major geologic landforms Shallow Subsurface Global Mapping Shallow Composition Reﬂectometry (HF, VHF) Altimetry (VHF) Assess the composition of surface materi"
18,altimetry,"F) Reﬂectometry (HF, VHF) Interferometry (VHF) Altimetry (VHF) Characterize the subsurface structure, near-surface characteristics, and surface topography of major geologic landforms Shallow Subsurface Global Mapping Shallow Composition Reﬂectometry (HF, VHF) Altimetry (VHF) Assess the composition of surface materials, the geological context of the surface, the potential for geological activity, the existence of near-surface water and the potential for active upwelling of ocean-derived material Surface to Near-Surface Globa"
18,ranging,"51 Page18of91 D.D.Blankenshipetal. Table 1 (Continued) REASON Dataset Name Measurements Description Domain Coverage REASON Extended Science Tidal Deformation Ranging (VHF) Characterize the topographic signature of the tidal shape by constraining the second-degree Love number h 2 to 0.3 absolute accuracy, to conﬁrm the existence of a subsurface ocean and constrain the ice shell thickness Ice–Ocean Interface Intersections d"
18,plasma,"ater and the potential for active upwelling of ocean-derived material Surface to Near-Surface Global Searching Surface Activity Evidence Reﬂectometry (HF, VHF) Search for spatial variations in surface density that are indicative of plume deposits Near-Surface Plasma Column Density Plasma Characterization (HF, VHF) Characterize the TEC of the local ionosphere with a detection threshold and measurement accuracy value of 3 × 10 14 m−2. Exosphere Plume Search Plasma Characterization (HF, VHF) Search for active plumes below t"
18,plasma,"for active upwelling of ocean-derived material Surface to Near-Surface Global Searching Surface Activity Evidence Reﬂectometry (HF, VHF) Search for spatial variations in surface density that are indicative of plume deposits Near-Surface Plasma Column Density Plasma Characterization (HF, VHF) Characterize the TEC of the local ionosphere with a detection threshold and measurement accuracy value of 3 × 10 14 m−2. Exosphere Plume Search Plasma Characterization (HF, VHF) Search for active plumes below the spacecraft with a d"
18,plasma,"density that are indicative of plume deposits Near-Surface Plasma Column Density Plasma Characterization (HF, VHF) Characterize the TEC of the local ionosphere with a detection threshold and measurement accuracy value of 3 × 10 14 m−2. Exosphere Plume Search Plasma Characterization (HF, VHF) Search for active plumes below the spacecraft with a detection threshold TEC value of 3 × 10 14 m−2 Exosphere ble with these hypotheses and objectives will be collected in the course of REASON opera- tions (Table 1). The requirement"
18,measurement,"51 Page18of91 D.D.Blankenshipetal. Table 1 (Continued) REASON Dataset Name Measurements Description Domain Coverage REASON Extended Science Tidal Deformation Ranging (VHF) Characterize the topographic signature of the tidal shape by constraining the second-degree Love number h 2 to 0.3 absolute accuracy, to conﬁrm the existence of a subsurface"
18,measurement,"ence Reﬂectometry (HF, VHF) Search for spatial variations in surface density that are indicative of plume deposits Near-Surface Plasma Column Density Plasma Characterization (HF, VHF) Characterize the TEC of the local ionosphere with a detection threshold and measurement accuracy value of 3 × 10 14 m−2. Exosphere Plume Search Plasma Characterization (HF, VHF) Search for active plumes below the spacecraft with a detection threshold TEC value of 3 × 10 14 m−2 Exosphere ble with these hypotheses and objectives will be collected"
19,altitude,"ies that differ due to variations in tidal dissipation, surface temperature, and ocean forcing (see Pappalardo et al. 2024, this collection). Segments represent portions of the groundtrack within a panel where REASON measurements can be obtained (e.g., within altitude limits). Intersections are signiﬁcant because they enable the independent registration and extension of 2D proﬁles, collected along segments, to understand 3D subsurface structure. Analysis of signal char- acter at intersections additionally represents a path"
19,altitude,"mission. Global coverage is considered achieved when ≥11 of the 14 panels are sampled by groundtrack segments. For all REASON Guiding Science datasets except for the Ice–Ocean Interface dataset, groundtrack segments must be at least 800 km in length, below an altitude of 400 km, and intersect multiple times (2 anti-Jovian and 1 sub-Jovian) to count toward global coverage. Note that global coverage is skewed towards the anti-Jovian hemisphere where both frequencies can operate (i.e., where the HF is shielded from Jovian dec"
19,altitude,"nti-Jovian hemisphere where both frequencies can operate (i.e., where the HF is shielded from Jovian decametric noise). For the Ice–Ocean Interface dataset, groundtrack segments are not required to inter- sect, but must be at least 1600 km in length, below an altitude of 1000 km. To search for an ice–ocean interface, correlated gradients in ice thickness and surface elevation must be tracked at the panel scale (∼ 1600 km per side). This coverage supports a detailed characterization of the following ice shell domains (Fig."
19,sounding,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page19of91 51 2.2 RequirementsforCoverageQuality Requirements imposed on the groundtrack distribution of ﬂybys are similarly organized by the REASON Guiding Science datasets, and are speciﬁed in terms of panels, segments, and intersect"
19,measurement,"which sample domains of Europa with properties that differ due to variations in tidal dissipation, surface temperature, and ocean forcing (see Pappalardo et al. 2024, this collection). Segments represent portions of the groundtrack within a panel where REASON measurements can be obtained (e.g., within altitude limits). Intersections are signiﬁcant because they enable the independent registration and extension of 2D proﬁles, collected along segments, to understand 3D subsurface structure. Analysis of signal char- acter at inte"
20,frequency,"ate them. 2.3.1 Exosphere Much of our knowledge of the magnetospheric environment of Europa comes from Galileo observations (Gurnett et al. 1998; Kurth et al. 2001; Bagenal et al. 2016, 2017). These are largely due to inference from the upper hybrid resonance frequency which, with the mea- sured magnetic ﬁeld, allows a determination of the electron plasma frequency, hence elec- tron density. Kurth et al. (2001) showed that the electron density near Europa’s orbit could vary from about 50 cm −3 to over 500 cm −3 although the"
20,frequency,"from Galileo observations (Gurnett et al. 1998; Kurth et al. 2001; Bagenal et al. 2016, 2017). These are largely due to inference from the upper hybrid resonance frequency which, with the mea- sured magnetic ﬁeld, allows a determination of the electron plasma frequency, hence elec- tron density. Kurth et al. (2001) showed that the electron density near Europa’s orbit could vary from about 50 cm −3 to over 500 cm −3 although the latter was an exceptional case observed near the E12 ﬂyby. Typical values are closer to 100 cm −3"
20,altitude,"the E4, E6, E19 and E24 ﬂybys (Kliore et al.1997; McGrath et al.2009) reveal a mostly surface-bound ionosphere (i.e., with the highest density layer at or near the surface) except for one proﬁle exhibiting a maximum electron density of ∼ 10 4 cm−3 at ∼ 100 km altitude. The plasma scale height is reported to be 240 ± 40 km near the surface and 440 ± 60 km above 300 km, and the TEC can reach up to ∼ 4 × 1015 m−2. However, three occultation detections were negative (i.e., weak to non-detection) near the downstream wake region"
20,plasma,"comes from Galileo observations (Gurnett et al. 1998; Kurth et al. 2001; Bagenal et al. 2016, 2017). These are largely due to inference from the upper hybrid resonance frequency which, with the mea- sured magnetic ﬁeld, allows a determination of the electron plasma frequency, hence elec- tron density. Kurth et al. (2001) showed that the electron density near Europa’s orbit could vary from about 50 cm −3 to over 500 cm −3 although the latter was an exceptional case observed near the E12 ﬂyby. Typical values are closer to"
20,plasma,"9 and E24 ﬂybys (Kliore et al.1997; McGrath et al.2009) reveal a mostly surface-bound ionosphere (i.e., with the highest density layer at or near the surface) except for one proﬁle exhibiting a maximum electron density of ∼ 10 4 cm−3 at ∼ 100 km altitude. The plasma scale height is reported to be 240 ± 40 km near the surface and 440 ± 60 km above 300 km, and the TEC can reach up to ∼ 4 × 1015 m−2. However, three occultation detections were negative (i.e., weak to non-detection) near the downstream wake region of Europa,"
20,plasma,"phere results from concurrent iono- spheric production processes prevailing in speciﬁc hemispheres independently rotating with different time constants: solar photoionization in the day side and impact ionization predom- inant in the trailing side from the Io plasma torus. The average ionosphere production rate from impact ionization exceeds photoionization (Saur et al.1998). However, their combined action in asymmetrically wrapping Europa with an ionosphere, setting its exobase and pac- ing its overall temporal variabil"
20,plasma,"ectron density exceeding 2000 cm −3 (Jia et al. 2018). From these data, Jia et al. ( 2018) concluded that it was possible Galileo had passed through a plume with characteristics consistent with the putative plumes detected by Hubble (Roth et al. 2014). REASON plasma characterization will enhance our understanding of electron density in the exosphere by characterizing the TEC in the nadir column between the spacecraft and Europa’s surface, complementing data obtained with PIMS. Additionally, REASONplasma characterization"
20,plasma,"al. 2014). REASON plasma characterization will enhance our understanding of electron density in the exosphere by characterizing the TEC in the nadir column between the spacecraft and Europa’s surface, complementing data obtained with PIMS. Additionally, REASONplasma characterization will support the search for active plumes alongside other remote sensing (e.g., Europa Ultraviolet Spectrograph (Europa-UVS), EIS, the Mapping Imaging Spectrom- eter for Europa (MISE), and the Europa Thermal Emission Imaging System (E-THEMIS)"
21,sounding,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page21of91 51 2.3.2 SurfacetoNear-Surface Although the surface of Europa is largely dominated by water ice, a range of processes can alter its composition and properties. Exogenic processes like impact gardening through charged particl"
21,measurement,"ed with such features has not yet been evaluated. Fossil and/or contemporary plume fallout deposits represent another source of layering at Europa’s sur- face (e.g., Fagents et al. 2000; Fagents 2003). Near-surface densities derived from REA- SON reﬂectometry measurements (Fig. 3) will aid in distinguishing high porosity (0.5 to 0.9; Quick and Hedman 2020) plume fallout deposits from a conventional Europa surface. Because REASON’s VHF and HF frequencies respond differently to different layer thick- nesses, properties, and dep"
21,measurement,"al. 2022 ), whereas for frozen brine layers, this could constrain layer thickness and depth (Chan et al. 2023b). Surface temperature variations that may or may not be related to the presence of liquid brines near the surface will primarily be assessed through measurements made by the E- THEMIS (see Christensen et al. 2024, this collection). REASON reﬂectometry will supple- ment E-THEMIS investigations in the search for thermal anomalies by constraining porosity variations (Grima et al. 2014a) or roughness smoothing (Grima et"
23,interferometry,"hy provided byaltimetry to evaluate the potential for relict liquid water (e.g., Culberg et al.2022). Digital elevation mod- els (DEMs) provided by EIS will provide additional context for interpretation of subsurface interfaces detected by sounding.R E A S O Ninterferometry and cluttergrams 9 generated from EIS DEMs will ensure clutter from off-nadir surface features is not mistaken for subsurface interfaces at nadir. 2.3.4 Ice-OceanInterface Measuring the tidal Love numbers h2,k 2,a n dl2 and linear combinations of them has bee"
23,sounding,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page23of91 51 Because Europa’s surface features are likely direct expressions of the subsurface, REASON’s sounding and altimetry measurements will be able to differentiate between var- ious hypotheses for the formation of these feature"
23,sounding,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page23of91 51 Because Europa’s surface features are likely direct expressions of the subsurface, REASON’s sounding and altimetry measurements will be able to differentiate between var- ious hypotheses for the formation of these features by quantitatively characterizing the sur- face while simultaneously offering a window into the subsurface. REASON is capable of directly"
23,sounding,ion of these features by quantitatively characterizing the sur- face while simultaneously offering a window into the subsurface. REASON is capable of directly detecting the presence and distribution of subsurface water in the shallow subsur- face on Europa by sounding the ice shell for sharp reﬂections from perched water bodies as well as brine-rich and/or salt-rich features. Reﬂections from vertical cracks inﬁlled with liquid water have a distinct “corner-reﬂector” signature in unfocused radar data (Peters et al. 2007b) a
23,sounding,"s brine-rich and/or salt-rich features. Reﬂections from vertical cracks inﬁlled with liquid water have a distinct “corner-reﬂector” signature in unfocused radar data (Peters et al. 2007b) and may be detectable by REASON. If a plume were to be detected, REASON sounding will aid in isolating the source of the eruptive material, complementing observa- tions from other investigations (e.g., E-THEMIS, see Christensen et al.2024, this collection; EIS, see Turtle et al. 2024, this collection). REASON altimetry will measure the el"
23,sounding,"e et al. 2024, this collection). REASON altimetry will measure the elevation of surface features with horizontal extents spanning tens of kilometers. For features with detectable subsurface interfaces, such as ice blocks and chaos matrix regions, complementarysounding and altimetry measurements will enable interfaces at depth to be tested for hydrostatic compensation to conﬁrm the presence of liquid water. Even in the absence of active liquid water, subsurface interfaces detected by sounding can be evaluated in the context"
23,sounding,"os matrix regions, complementarysounding and altimetry measurements will enable interfaces at depth to be tested for hydrostatic compensation to conﬁrm the presence of liquid water. Even in the absence of active liquid water, subsurface interfaces detected by sounding can be evaluated in the context of the surface topography provided byaltimetry to evaluate the potential for relict liquid water (e.g., Culberg et al.2022). Digital elevation mod- els (DEMs) provided by EIS will provide additional context for interpretation o"
23,sounding,"the surface topography provided byaltimetry to evaluate the potential for relict liquid water (e.g., Culberg et al.2022). Digital elevation mod- els (DEMs) provided by EIS will provide additional context for interpretation of subsurface interfaces detected by sounding.R E A S O Ninterferometry and cluttergrams 9 generated from EIS DEMs will ensure clutter from off-nadir surface features is not mistaken for subsurface interfaces at nadir. 2.3.4 Ice-OceanInterface Measuring the tidal Love numbers h2,k 2,a n dl2 and linear co"
23,sounding,"tides) predict that tidal deﬂections are an order of magnitude larger if an ocean is present (∼ 30 m vs. 1 m) (Moore and Schubert 2000). Thus, h 2 determination would pro- vide evidence for (or against) a Europan subsurface ocean, complementary to subsurface sounding or other evidence from gravity ﬁeld determination or magnetic ﬁeld induction. Typical values for h 2 are around 1.2 in the presence of an ocean and drop below 0.1 if no ocean is present (Moore and Schubert 2000). Using the estimated error bounds for h2 alone"
23,altimetry,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page23of91 51 Because Europa’s surface features are likely direct expressions of the subsurface, REASON’s sounding and altimetry measurements will be able to differentiate between var- ious hypotheses for the formation of these features by quantitatively characterizing the sur- face while simultaneously offering a window into the subsurface. REASON is capable of directly detecting the"
23,altimetry,"be detected, REASON sounding will aid in isolating the source of the eruptive material, complementing observa- tions from other investigations (e.g., E-THEMIS, see Christensen et al.2024, this collection; EIS, see Turtle et al. 2024, this collection). REASON altimetry will measure the elevation of surface features with horizontal extents spanning tens of kilometers. For features with detectable subsurface interfaces, such as ice blocks and chaos matrix regions, complementarysounding and altimetry measurements will enable i"
23,altimetry,", this collection). REASON altimetry will measure the elevation of surface features with horizontal extents spanning tens of kilometers. For features with detectable subsurface interfaces, such as ice blocks and chaos matrix regions, complementarysounding and altimetry measurements will enable interfaces at depth to be tested for hydrostatic compensation to conﬁrm the presence of liquid water. Even in the absence of active liquid water, subsurface interfaces detected by sounding can be evaluated in the context of the surfac"
23,altimetry,"e interfaces at depth to be tested for hydrostatic compensation to conﬁrm the presence of liquid water. Even in the absence of active liquid water, subsurface interfaces detected by sounding can be evaluated in the context of the surface topography provided byaltimetry to evaluate the potential for relict liquid water (e.g., Culberg et al.2022). Digital elevation mod- els (DEMs) provided by EIS will provide additional context for interpretation of subsurface interfaces detected by sounding.R E A S O Ninterferometry and clut"
23,altimetry,"l .2006). Whereas changes in the tidal potential can be determined by measuring the time-varying gravity ﬁeld with radio Doppler tracking (see Mazarico et al. 2023, this collection), the determination of the radial deformation, parame- terized by h2 requires altimetry measurements over several tidal cycles at different locations. Crossover points at which two altimetric measurements at the surface are taken at a different tidal phase are a means for determining tidal amplitudes. By combining altimetric data, in particular"
23,measurement,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page23of91 51 Because Europa’s surface features are likely direct expressions of the subsurface, REASON’s sounding and altimetry measurements will be able to differentiate between var- ious hypotheses for the formation of these features by quantitatively characterizing the sur- face while simultaneously offering a window into the subsurface. REASON is capable of directly detecting the presence and"
23,measurement,"lection). REASON altimetry will measure the elevation of surface features with horizontal extents spanning tens of kilometers. For features with detectable subsurface interfaces, such as ice blocks and chaos matrix regions, complementarysounding and altimetry measurements will enable interfaces at depth to be tested for hydrostatic compensation to conﬁrm the presence of liquid water. Even in the absence of active liquid water, subsurface interfaces detected by sounding can be evaluated in the context of the surface topography"
23,measurement,"Whereas changes in the tidal potential can be determined by measuring the time-varying gravity ﬁeld with radio Doppler tracking (see Mazarico et al. 2023, this collection), the determination of the radial deformation, parame- terized by h2 requires altimetry measurements over several tidal cycles at different locations. Crossover points at which two altimetric measurements at the surface are taken at a different tidal phase are a means for determining tidal amplitudes. By combining altimetric data, in particular crossovers f"
23,measurement,"h radio Doppler tracking (see Mazarico et al. 2023, this collection), the determination of the radial deformation, parame- terized by h2 requires altimetry measurements over several tidal cycles at different locations. Crossover points at which two altimetric measurements at the surface are taken at a different tidal phase are a means for determining tidal amplitudes. By combining altimetric data, in particular crossovers from REASON with surface topography from stereo-photogrammetric techniques with EIS, the determination of"
24,sounding,"predicted to undergo solid-state convection at depth (McKinnon 1999;B a r ra n dS h o w m a n2009). A recent thermodynamic study suggests that the total ice shell thickness is likely>20 km, where the conductive layer thickness is ∼ 10 km (Howell 2021). REASON sounding will help to resolve the ice shell thickness debate by searching glob- ally for an ice–ocean interface indicated by a sharp, continuous ( >1000 km long) radar reﬂection due to any major ice–water permittivity contrast up to a depth of 30 km below the surface."
24,sounding,"wnwellings produced by convection may provide a distribution of low attenuation windows into the ocean–ice interface (McKinnon 2005; Kalousová et al. 2017). In summary, by detecting spatially variable zones of anomalous radar scattering and absorption, REASON sounding will reveal the thermophysical structure of the ice shell, placing constraints on the heat ﬂow. These data will also inform occurrences and sizes of convective cells, as well as regions of convective ice upwelling and downwelling (Kalousová et al. 2017). Note"
24,ranging,"t constraints on the viscosity of the ice shell could be obtained if the phase-lag, the deviation of the tidal bulge from the sub-Jovian line, could be measured. However, such a measurement would be even more challenging and could only be obtained with REASON ranging if the ice shell is very dissipative. That would imply a phase-lag of a few degrees, which might be detectable if the deformation is strong enough. In case both phase lags in k 2 and h2 could be measured, the phase-lag difference could further constrain wheth"
24,measurement,"he ice shell (rigidity and viscosity) are known (Steinbrügge et al. 2018). The best constraints on the viscosity of the ice shell could be obtained if the phase-lag, the deviation of the tidal bulge from the sub-Jovian line, could be measured. However, such a measurement would be even more challenging and could only be obtained with REASON ranging if the ice shell is very dissipative. That would imply a phase-lag of a few degrees, which might be detectable if the deformation is strong enough. In case both phase lags in k 2 an"
25,bandwidth,HF: 1 dB over ≤ 27.5 km N/A Radiometric Accuracy N/A N/A VHF:1d B over ≤ 10 km HF: 1 dB over ≤ 27.5 km N/A Radiometric Stability HF: 2 dB within a ﬂyby in the subsurface N/A N/A N/A *We compare the different resolution requirements provided by the 10 MHz VHF bandwidth and the 1 MHz HF bandwidth using the terms “ﬁner” for a smaller numeric requirement and “coarser” for a large numeric requirement.
25,bandwidth,A Radiometric Accuracy N/A N/A VHF:1d B over ≤ 10 km HF: 1 dB over ≤ 27.5 km N/A Radiometric Stability HF: 2 dB within a ﬂyby in the subsurface N/A N/A N/A *We compare the different resolution requirements provided by the 10 MHz VHF bandwidth and the 1 MHz HF bandwidth using the terms “ﬁner” for a smaller numeric requirement and “coarser” for a large numeric requirement.
25,interferometry,measurement techniques. These types of requirements are summarized in Table 2 and deﬁned in Sects. 3.1–3.7. Table 2 Requirements on measurement quality organized by baseline measurement technique Baseline Measurement Techniques Sounding Altimetry Reﬂectometry Interferometry Requirements on Measurement Quality Blind Zone HF/VHF: <7× vertical resolution from the surface in ice N/A N/A N/A Vertical Resolution VHF: ≤30 m in ice (ﬁner) in top 3 km HF: ≤300 m in ice to 30 km depth HF/VHF: ≤300 m in ice (coarser) from 3k mt o3 0k md e
25,sounding,RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page25of91 51 3 RequirementsforMeasurementQuality There are nine types of requirements imposed on measurement quality that apply to the four baseline measurement techniques. These types of requirements are summarized in Table 2 and deﬁ
25,sounding,that apply to the four baseline measurement techniques. These types of requirements are summarized in Table 2 and deﬁned in Sects. 3.1–3.7. Table 2 Requirements on measurement quality organized by baseline measurement technique Baseline Measurement Techniques Sounding Altimetry Reﬂectometry Interferometry Requirements on Measurement Quality Blind Zone HF/VHF: <7× vertical resolution from the surface in ice N/A N/A N/A Vertical Resolution VHF: ≤30 m in ice (ﬁner) in top 3 km HF: ≤300 m in ice to 30 km depth HF/VHF: ≤300 m i
25,altimetry,y to the four baseline measurement techniques. These types of requirements are summarized in Table 2 and deﬁned in Sects. 3.1–3.7. Table 2 Requirements on measurement quality organized by baseline measurement technique Baseline Measurement Techniques Sounding Altimetry Reﬂectometry Interferometry Requirements on Measurement Quality Blind Zone HF/VHF: <7× vertical resolution from the surface in ice N/A N/A N/A Vertical Resolution VHF: ≤30 m in ice (ﬁner) in top 3 km HF: ≤300 m in ice to 30 km depth HF/VHF: ≤300 m in ice (coa
25,measurement,RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page25of91 51 3 RequirementsforMeasurementQuality There are nine types of requirements imposed on measurement quality that apply to the four baseline measurement techniques. These types of requirements are summarized in Table 2 and deﬁned in Sects. 3.1–3.7. Table 2 Requirements on measurement quality
25,measurement,RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page25of91 51 3 RequirementsforMeasurementQuality There are nine types of requirements imposed on measurement quality that apply to the four baseline measurement techniques. These types of requirements are summarized in Table 2 and deﬁned in Sects. 3.1–3.7. Table 2 Requirements on measurement quality organized by baseline measurement technique Baseline Measurement Te
25,measurement,RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page25of91 51 3 RequirementsforMeasurementQuality There are nine types of requirements imposed on measurement quality that apply to the four baseline measurement techniques. These types of requirements are summarized in Table 2 and deﬁned in Sects. 3.1–3.7. Table 2 Requirements on measurement quality organized by baseline measurement technique Baseline Measurement Techniques Sounding Altimetry Reﬂectometry Interferome
25,measurement,ementsforMeasurementQuality There are nine types of requirements imposed on measurement quality that apply to the four baseline measurement techniques. These types of requirements are summarized in Table 2 and deﬁned in Sects. 3.1–3.7. Table 2 Requirements on measurement quality organized by baseline measurement technique Baseline Measurement Techniques Sounding Altimetry Reﬂectometry Interferometry Requirements on Measurement Quality Blind Zone HF/VHF: <7× vertical resolution from the surface in ice N/A N/A N/A Vertical Reso
25,measurement,types of requirements imposed on measurement quality that apply to the four baseline measurement techniques. These types of requirements are summarized in Table 2 and deﬁned in Sects. 3.1–3.7. Table 2 Requirements on measurement quality organized by baseline measurement technique Baseline Measurement Techniques Sounding Altimetry Reﬂectometry Interferometry Requirements on Measurement Quality Blind Zone HF/VHF: <7× vertical resolution from the surface in ice N/A N/A N/A Vertical Resolution VHF: ≤30 m in ice (ﬁner) in top 3 k
25,measurement,on measurement quality that apply to the four baseline measurement techniques. These types of requirements are summarized in Table 2 and deﬁned in Sects. 3.1–3.7. Table 2 Requirements on measurement quality organized by baseline measurement technique Baseline Measurement Techniques Sounding Altimetry Reﬂectometry Interferometry Requirements on Measurement Quality Blind Zone HF/VHF: <7× vertical resolution from the surface in ice N/A N/A N/A Vertical Resolution VHF: ≤30 m in ice (ﬁner) in top 3 km HF: ≤300 m in ice to 30 km de
25,measurement,ypes of requirements are summarized in Table 2 and deﬁned in Sects. 3.1–3.7. Table 2 Requirements on measurement quality organized by baseline measurement technique Baseline Measurement Techniques Sounding Altimetry Reﬂectometry Interferometry Requirements on Measurement Quality Blind Zone HF/VHF: <7× vertical resolution from the surface in ice N/A N/A N/A Vertical Resolution VHF: ≤30 m in ice (ﬁner) in top 3 km HF: ≤300 m in ice to 30 km depth HF/VHF: ≤300 m in ice (coarser) from 3k mt o3 0k md e p t h N/A N/A N/A Vertical P
26,compression,"km allows any ice–water interface as well as associated thermophysical structures to be resolved up to altitudes of 1000 km. 10In radar sounding data, side lobes are peaks (lobes) that appear adjacent to the main peak in a reﬂected signal resulting from pulse compression of the transmitted chirp waveform."
26,altitude,"e satellite groundtrack. A ﬁner HF/VHF along-track resolution of 5.5 km/2 km allows us to characterize a wide range of resurfacing features (including pits, domes, and chaos) and resolve ice–water interfaces, hy- draulic potential beneath ﬂoating blocks up to altitudes of 400 km. A coarser along-track resolution of 10 km allows any ice–water interface as well as associated thermophysical structures to be resolved up to altitudes of 1000 km. 10In radar sounding data, side lobes are peaks (lobes) that appear adjacent to the"
26,altitude,"and chaos) and resolve ice–water interfaces, hy- draulic potential beneath ﬂoating blocks up to altitudes of 400 km. A coarser along-track resolution of 10 km allows any ice–water interface as well as associated thermophysical structures to be resolved up to altitudes of 1000 km. 10In radar sounding data, side lobes are peaks (lobes) that appear adjacent to the main peak in a reﬂected signal resulting from pulse compression of the transmitted chirp waveform."
26,pulse,"of 10 km allows any ice–water interface as well as associated thermophysical structures to be resolved up to altitudes of 1000 km. 10In radar sounding data, side lobes are peaks (lobes) that appear adjacent to the main peak in a reﬂected signal resulting from pulse compression of the transmitted chirp waveform."
26,sounding,"on of 300 m, over an along-track resolution cell, is required to separate surface from subsurface return of objects such as liquid water lenses and bands (Blankenship et al. 2009). For example, resolving the ∼ 300 m thickness of a ﬂoating ice block requires a sounding vertical resolution of 300 m in ice. 3 km is the best estimate of the depth of eutectic lenses; 300 m is 10% of this. In practice, it is the vertical precision, and not the vertical resolution, which limits the precision of a range estimate to an isolated tar"
26,sounding,"precision of 15 m in ice, over an along-track resolution cell, is required to constrain the depth and orientation of subsurface structures. 3.3 Along-TrackResolution Along-track resolution governs the ability to discriminate adjacent features in altimetry and sounding data along an interface in the direction of the satellite groundtrack. A ﬁner HF/VHF along-track resolution of 5.5 km/2 km allows us to characterize a wide range of resurfacing features (including pits, domes, and chaos) and resolve ice–water interfaces, hy-"
26,sounding,"interfaces, hy- draulic potential beneath ﬂoating blocks up to altitudes of 400 km. A coarser along-track resolution of 10 km allows any ice–water interface as well as associated thermophysical structures to be resolved up to altitudes of 1000 km. 10In radar sounding data, side lobes are peaks (lobes) that appear adjacent to the main peak in a reﬂected signal resulting from pulse compression of the transmitted chirp waveform."
26,altimetry,"VHF vertical precision of 15 m in ice, over an along-track resolution cell, is required to constrain the depth and orientation of subsurface structures. 3.3 Along-TrackResolution Along-track resolution governs the ability to discriminate adjacent features in altimetry and sounding data along an interface in the direction of the satellite groundtrack. A ﬁner HF/VHF along-track resolution of 5.5 km/2 km allows us to characterize a wide range of resurfacing features (including pits, domes, and chaos) and resolve ice–water int"
27,altitude,(Steinbrügge et al. 2020b). This minimum spacing is sufﬁcient to re- cover robust statistics from 1000 empirical echoes spaced by 1 m at a 5-m wavelength for airborne observations (Grima et al.2016). The VHF along-track resolution≤10 km/27.5 km at spacecraft altitude ≤400 km is required to constrain surface statistical echo properties to discern porous or impermeable ice and liquid or frozen brines or brine-soaked ice. The 10 km/27.5 km comes from the requirement that a patch must be at least ﬁve times the along-track res
27,altitude,"nd Full Depth Sub- surface Exchange datasets, the REASON VHF will discriminate between surface clutter and subsurface nadir features longer than 10 km at observation depths between the near-surface blind zone to 3 km for greater than 80% of any groundtrack at altitudes between 35 km and 400 km. A groundtrack percentage of 80% is derived from a 95% probability of success- ful clutter discrimination at an intersection. If we can discriminate subsurface features from surface clutter at an intersection, we know that the extens"
27,interferometry,"iginate from a subsurface target of interest or a surface feature. As such, in order to properly interpret the resulting radargrams, it is important that these “clutter” features be discriminated from subsurface nadir targets. For the VHF shallow sounding and interferometry measurements in the Shallow Subsurface and Full Depth Sub- surface Exchange datasets, the REASON VHF will discriminate between surface clutter and subsurface nadir features longer than 10 km at observation depths between the near-surface blind zone to 3 km fo"
27,pulse,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page27of91 51 3.4 SampledAlong-TrackResolution The sampled along-track resolution ensures statistical robustness of observations in support of reﬂectometry. Ideally, two consecutive pulses should be independent for best statistics recovery. However, the along-track spacing to ensure independence from pulse to pulse is not formally documented in the literature, but this length should vary with roughness. It is inﬁnite in the end case of reﬂecti"
27,pulse,"tion The sampled along-track resolution ensures statistical robustness of observations in support of reﬂectometry. Ideally, two consecutive pulses should be independent for best statistics recovery. However, the along-track spacing to ensure independence from pulse to pulse is not formally documented in the literature, but this length should vary with roughness. It is inﬁnite in the end case of reﬂections from a perfectly ﬂat surface, but only one surface echo is then necessary to recover the delta function that charact"
27,pulse,"sampled along-track resolution ensures statistical robustness of observations in support of reﬂectometry. Ideally, two consecutive pulses should be independent for best statistics recovery. However, the along-track spacing to ensure independence from pulse to pulse is not formally documented in the literature, but this length should vary with roughness. It is inﬁnite in the end case of reﬂections from a perfectly ﬂat surface, but only one surface echo is then necessary to recover the delta function that characterizes it"
27,sounding,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page27of91 51 3.4 SampledAlong-TrackResolution The sampled along-track resolution ensures statistical robustness of observations in support of reﬂectometry. Ideally, two consecutive pulses should be independent for best statistics reco"
